Cache Timing Analysis
====================

Overall Statistics:
  Min access time: 108 cycles
  Max access time: 137952 cycles
  Mean access time: 356.03 cycles
  Median access time: 332.00 cycles
  Std dev of access times: 389.75 cycles

Potential cache hit/miss threshold: 105260.00 cycles
  Values below this are likely cache hits
  Values above this are likely cache misses

Statistics by Address:
Address,Mean,Median,StdDev,Min,Max
0,338.82,320.00,82.47,280,1172
64,379.25,328.00,861.32,300,27428
128,336.82,316.00,82.77,188,1008
192,348.58,328.00,88.78,300,1052
256,342.81,324.00,81.90,296,1092
320,347.93,328.00,89.83,208,1128
384,354.16,336.00,83.25,308,1356
448,348.68,328.00,94.09,248,1204
512,340.84,320.00,86.55,276,1024
576,348.39,328.00,90.37,300,1272
640,341.18,320.00,90.81,268,1052
704,353.48,328.00,100.37,228,1112
768,342.97,324.00,87.00,276,1328
832,353.92,328.00,98.73,300,1096
896,357.19,320.00,489.04,160,15548
960,349.97,328.00,88.18,300,1052
1024,363.38,340.00,93.88,308,1104
1088,340.37,324.00,78.65,292,1104
1152,343.87,324.00,89.46,268,1156
1216,351.71,328.00,97.80,264,1368
1280,367.23,324.00,746.08,292,23776
1344,361.35,340.00,94.48,308,1104
1408,349.98,324.00,98.80,276,1444
1472,355.78,336.00,87.39,164,1060
1536,355.78,328.00,108.59,136,1084
1600,344.36,320.00,103.10,232,1168
1664,342.88,328.00,62.84,300,1124
1728,343.17,316.00,103.14,240,1348
1792,349.02,328.00,87.93,300,1256
1856,346.26,324.00,89.78,296,1028
1920,344.70,328.00,74.05,300,996
1984,337.61,316.00,82.68,256,1236
2048,359.94,324.00,532.69,296,16964
2112,358.05,340.00,79.82,312,1124
2176,349.87,328.00,92.01,160,1096
2240,346.95,324.00,89.41,264,1048
2304,358.99,340.00,86.39,308,1040
2368,342.98,324.00,87.53,244,1040
2432,351.44,328.00,97.44,264,1232
2496,337.84,316.00,85.69,264,1044
2560,373.77,328.00,725.94,272,23116
2624,362.02,336.00,101.31,308,1060
2688,348.84,328.00,90.01,300,1392
2752,345.85,324.00,95.59,296,1328
2816,350.25,328.00,86.94,300,1040
2880,338.27,320.00,81.85,260,1100
2944,346.16,324.00,84.05,268,1036
